Sr_No,Date,StartUp,Vertical,SubVertical,Location,Investors,Round,Amount
1,2020-01-09,Byju’S,E-Tech,E-Learning,Bangalore,Tiger Global Management,Private Equity Round,1888.6
2,2020-01-13,Shuttl,Transportation,App Based Shuttle Service,Gurgaon,Susquehanna Growth Equity,Series C,76.00098454200001
3,2020-01-09,Mamaearth,E-Commerce,Retailer Of Baby And Toddler Products,Bangalore,Sequoia Capital India,Series B,173.36271498000002
4,2020-01-02,Wealth Bucket,Fintech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,28.329
5,2020-01-02,Fashor,Fashion And Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,16.9974
6,2020-01-13,Pando,Logistics,"Open-Market, Freight Management Platform",Chennai,Chiratae Ventures,Series A,84.98700000000001
7,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1416.4500000000003
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,56.658
9,2019-12-06,Cardekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,661.0100000000001
10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,472.15
11,2019-12-13,Rivigo,Technology,Logistics Services And Solutions,Gurgaon,"Saif Partners, Spring Canter Investment Ltd.",Series F,188.86
12,2019-12-17,Healthians,B2B-Focused Foodtech Startup,Food Solutions For Corporate,Bangalore,"Paytm, Nptk, Sabre Partners  Neoplux",Series C,113.316
13,2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,283.29
14,2019-12-16,Incred,Finance,Non-Banking Financial Company,Mumbai,Undisclosed,Debt Funding,55.7137
15,2019-12-14,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Round,18.886
16,2019-12-11,Rein Games,Gaming,Real Money Based Gaming Startup,Noida,Manipal Education  Medical Group (Memg),Seed Round,472.15
17,2019-12-20,Lenskart.Com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,Softbank Vision Fund,Series G,2181.333
18,2019-11-13,Freshworks,Software,Business And Customer Engagement Tools,San Francisco,"Sequoia, Capitalg, Accel",Series H,1416.4500000000003
